"","GEOID10","District","total_population"
"1",410159503023,9,1165
"2",410159503013,9,1165
"3",410159502003,9,1770
"4",410110003004,2,735
"5",410110006003,19,830
"6",410110006001,2,715
"7",410110004001,2,880
"8",410110007004,2,560
"9",410110003001,2,720
"10",410110001002,9,540
"11",410192100005,9,560
"12",410390007053,9,940
"13",410419511002,19,645
"14",410419506022,2,1635
"15",410419506013,19,910
"16",410419503043,2,1110
"17",410579603002,19,1355
"18",410079505003,19,1950
"19",410079509003,19,635
"20",410079505002,19,555
"21",410079511001,1,1615
"22",410079506001,19,1235
"23",410079504003,1,645
"24",410333616003,9,1310
"25",410333611004,9,1850
"26",410333611002,9,1885
"27",410333607011,9,1730
"28",410333607021,9,2070
"29",410333606004,4,500
"30",410333605001,4,755
"31",410333607023,9,1530
"32",410290030021,4,1285
"33",410290030014,4,610
"34",410192100003,15,505
"35",410192100004,15,1320
"36",410191500003,30,1405
"37",410191400002,2,1315
"38",410191400001,30,825
"39",410191300005,2,355
"40",410190400003,2,570
"41",410190500014,21,610
"42",410190900001,30,990
"43",410190400001,21,560
"44",410430306003,14,1010
"45",410030102003,14,985
"46",410030109002,14,2100
"47",410030002021,14,1015
"48",410030009004,10,870
"49",410030009005,10,550
"50",410030102002,5,920
"51",410030106003,5,610
"52",410030010022,10,1190
"53",410030011022,10,1355
"54",410030106001,10,1115
"55",410030010011,10,810
"56",410030006002,5,800
"57",410530202021,14,1785
"58",410099711001,1,625
"59",410079512002,19,1020
"60",410099702001,1,625
"61",410099702005,1,1485
"62",410290017003,4,560
"63",410290029003,4,1255
"64",410290030011,4,850
"65",410290015002,15,1605
"66",410290010014,4,1170
"67",410290007002,4,1735
"68",410290002033,4,850
"69",410290003002,15,2295
"70",410290028001,4,1530
"71",410290006013,15,1355
"72",410290013013,15,715
"73",410290004032,4,735
"74",410290006014,15,1360
"75",410290014003,15,3495
"76",410390013011,21,845
"77",410390017004,21,1400
"78",410390025041,21,490
"79",410390024011,26,590
"80",410390044013,21,535
"81",410390043004,11,1265
"82",410390044053,21,1370
"83",410390044052,11,1060
"84",410390044041,11,800
"85",410390053002,21,1350
"86",410390047002,11,710
"87",410390047003,11,795
"88",410390048003,11,820
"89",410390038002,26,545
"90",410390050003,21,910
"91",410390021023,11,1575
"92",410390011012,21,1110
"93",410390033013,11,615
"94",410390020012,26,1090
"95",410390019041,26,1665
"96",410390018011,21,1710
"97",410030101004,10,1280
"98",410430204003,10,885
"99",410430205001,10,1105
"100",410430206002,10,1115
"101",410430201004,10,1680
"102",410470027002,10,815
"103",410470108011,5,870
"104",410470107011,5,555
"105",410470105014,3,975
"106",410530053005,14,2280
"107",410530052011,14,435
"108",410470013002,28,1090
"109",410470021011,28,1010
"110",410470009007,28,700
"111",410470015032,28,1275
"112",410470009005,5,415
"113",410470015031,28,845
"114",410470010002,5,1085
"115",410470015012,7,1615
"116",410470006002,28,1365
"117",410470005011,28,925
"118",410710309002,7,1300
"119",410470007012,28,2005
"120",410470005023,28,1390
"121",410470018013,28,925
"122",410470017021,28,1110
"123",410470016023,28,960
"124",410470018031,5,1675
"125",410470016043,28,1230
"126",410470016012,28,1870
"127",410470016034,28,940
"128",410470103041,5,865
"129",410470103032,7,1515
"130",410470102012,7,1150
"131",410470102024,7,1845
"132",410470105033,5,1880
"133",410470105013,5,1155
"134",410710302014,23,2010
"135",410710302012,23,1130
"136",410670324041,1,600
"137",410710301011,7,2175
"138",410670317046,23,1965
"139",410670316132,29,510
"140",410670316121,29,2595
"141",410670318054,18,1130
"142",410670318052,23,2165
"143",410670319092,23,1435
"144",410670314022,29,1095
"145",410670312003,29,2325
"146",410670310041,12,1360
"147",410670319072,23,680
"148",410670313003,29,740
"149",410670313001,27,930
"150",410670311001,27,1275
"151",410670308052,23,485
"152",410470102011,7,860
"153",410670308053,23,1435
"154",410670308034,23,720
"155",410670313004,27,1235
"156",410670321092,23,1560
"157",410670304013,16,1345
"158",410670303003,16,650
"159",410670306002,12,1305
"160",410670305023,12,990
"161",410670301012,27,765
"162",410670320051,7,230
"163",410670307001,12,495
"164",410670305021,12,1370
"165",410670333011,1,2745
"166",410670328001,1,840
"167",410670327002,1,1645
"168",410670326091,23,1495
"169",410670326081,23,1505
"170",410670324082,1,3535
"171",410670315044,1,2120
"172",410670315042,29,795
"173",410670316092,23,3855
"174",410670316102,29,895
"175",410670315092,29,490
"176",410670315141,29,855
"177",410470106001,3,235
"178",410510064033,12,505
"179",410050204014,7,1320
"180",410510064042,12,1510
"181",410050203033,12,1750
"182",410050227024,23,615
"183",410050238001,3,1250
"184",410050204041,7,1445
"185",410510106003,27,860
"186",410050205031,7,910
"187",410510059001,12,4065
"188",410050207002,3,1510
"189",410510011012,6,1550
"190",410510002003,12,1260
"191",410510009023,6,1135
"192",410510009022,6,970
"193",410510003021,12,930
"194",410050205052,7,945
"195",410510014004,6,640
"196",410050206002,3,2230
"197",410510008023,6,1005
"198",410050224004,3,380
"199",410510007023,20,1140
"200",410050225002,3,1330
"201",410510088001,20,1125
"202",410510005011,6,625
"203",410510016014,13,1115
"204",410050216023,12,1730
"205",410510016012,13,555
"206",410510006024,20,795
"207",410050222013,20,1630
"208",410510016022,13,970
"209",410050230022,3,1845
"210",410510085002,13,1005
"211",410510083022,13,1645
"212",410510082021,20,1820
"213",410050222062,13,3630
"214",410050222072,13,1205
"215",410050237002,22,510
"216",410510091023,13,545
"217",410510097022,13,1240
"218",410050232011,8,1680
"219",410510104054,8,650
"220",410510104112,13,1240
"221",410050234013,8,890
"222",410510105003,17,595
"223",410510041021,27,980
"224",410510047002,29,1175
"225",410510048002,29,975
"226",410510049001,29,1610
"227",410510049002,29,1130
"228",410510038012,16,560
"229",410510038021,16,1175
"230",410510038011,27,845
"231",410510034013,16,505
"232",410510037014,16,815
"233",410510033013,20,915
"234",410510025024,16,935
"235",410510025012,6,650
"236",410510031002,20,1050
"237",410510025022,6,950
"238",410510020001,6,835
"239",410510030002,20,1085
"240",410510027013,20,660
"241",410510028023,6,930
"242",410510074001,17,825
"243",410510017015,6,835
"244",410510017017,20,925
"245",410510029033,6,745
"246",410510078001,17,560
"247",410510079001,17,960
"248",410510080022,17,990
"249",410510095012,17,1155
"250",410510094001,17,1285
"251",410510096042,13,1280
"252",410510096031,13,1335
"253",410510103042,13,775
"254",410510103032,13,1735
"255",410359709001,30,1675
"256",410359701001,30,560
"257",410390001005,3,615
"258",410170002001,30,1740
"259",410170005002,3,215
"260",410050234044,17,1040
"261",410279501002,22,825
"262",410359714002,30,750
"263",410359705002,30,470
"264",410359718001,30,720
"265",410359719002,30,570
"266",410359717004,30,315
"267",410170003004,30,1880
"268",410170002004,30,635
"269",410170002002,30,780
"270",410659707001,22,420
"271",410279502003,22,915
"272",410279504002,22,730
"273",410279502004,17,1580
"274",410170013005,25,500
"275",410170016001,25,660
"276",410170020003,22,2410
"277",410170020001,22,965
"278",410170019023,22,625
"279",410170019011,22,1485
"280",410139503005,25,2165
"281",410170010012,22,3390
"282",410170009002,25,930
"283",410170008001,25,3760
"284",410659708002,17,845
"285",410659703003,22,745
"286",410139503004,25,465
"287",410139504001,25,3100
"288",410699601001,24,530
"289",410379602004,30,560
"290",410239602001,25,615
"291",410239601001,17,630
"292",410499701002,24,1115
"293",410239602003,17,1335
"294",410599512006,24,825
"295",410599509003,24,1520
"296",410599512005,24,1200
"297",410599512001,24,1650
"298",410259602001,25,865
"299",410619706002,24,940
"300",410599400002,24,1455
"301",410599505002,24,1220
"302",410599504006,24,540
"303",410599502005,24,645
"304",410019506003,24,785
"305",410019502001,24,865
"306",410019502002,24,800
"307",410619707003,24,1140
"308",410459706001,22,670
"309",410459702001,22,910
"310",410459703004,22,765
"311",410459704003,22,390
"312",410159501003,9,625
"313",410159504001,9,1210
"314",410159503012,9,565
"315",410159504003,9,1435
"316",410110010002,9,830
"317",410110009005,9,375
"318",410110009001,19,580
"319",410110004004,2,675
"320",410110005041,19,670
"321",410110004003,2,760
"322",410110004002,2,580
"323",410110007002,2,640
"324",410110001006,2,650
"325",410110001003,2,1040
"326",410333616001,9,1060
"327",410333601001,9,1005
"328",410190700002,19,1860
"329",410419516001,19,955
"330",410419510002,2,1050
"331",410419506021,19,580
"332",410579607002,2,550
"333",410579606003,19,610
"334",410579606001,19,285
"335",410579601002,19,1045
"336",410079506003,19,340
"337",410079502004,19,445
"338",410079503002,19,235
"339",410333610003,9,1170
"340",410333606002,9,1685
"341",410333607013,9,655
"342",410333614001,4,1005
"343",410290029005,4,1145
"344",410290029001,4,665
"345",410192000003,9,985
"346",410191600004,30,595
"347",410191600003,30,1335
"348",410190800002,2,1360
"349",410191300004,30,1315
"350",410191200001,30,1830
"351",410191800001,30,800
"352",410190900002,2,425
"353",410191200002,2,1265
"354",410190500023,2,1400
"355",410190400002,2,945
"356",410190300001,19,660
"357",410390009022,21,1165
"358",410390009032,21,1230
"359",410390009034,21,975
"360",410390004022,14,510
"361",410390010011,21,1010
"362",410390010012,14,1025
"363",410390010021,21,1400
"364",410030001002,5,1260
"365",410030104001,14,635
"366",410530204004,5,1355
"367",410530204005,5,380
"368",410030009003,10,1645
"369",410030009002,10,455
"370",410030006003,10,1440
"371",410710305022,19,1025
"372",410710305023,14,950
"373",410530053001,14,735
"374",410670336002,1,495
"375",410099702002,1,795
"376",410099702003,1,1120
"377",410290023002,4,775
"378",410290030013,4,1035
"379",410290030012,4,920
"380",410290015003,4,595
"381",410290010022,4,860
"382",410290010012,4,295
"383",410290010021,4,1840
"384",410290009004,15,3090
"385",410290028003,15,585
"386",410290011002,4,2230
"387",410290002032,4,1050
"388",410290007003,15,580
"389",410290004042,4,1695
"390",410290004031,15,2445
"391",410290013025,15,770
"392",410290013014,15,1620
"393",410290017001,4,1025
"394",410290014001,15,3150
"395",410290017004,15,2525
"396",410290026001,4,1055
"397",410390014002,30,745
"398",410390044012,21,1120
"399",410390023012,11,770
"400",410390041001,11,825
"401",410390053001,21,515
"402",410390046003,11,400
"403",410390046002,11,895
"404",410390054004,21,800
"405",410390029022,11,1045
"406",410390022012,11,2020
"407",410390054001,11,865
"408",410390030003,11,1270
"409",410390050001,11,775
"410",410390049003,11,860
"411",410390049001,11,1110
"412",410390031023,11,1720
"413",410390037001,26,2850
"414",410390031022,11,1300
"415",410390032021,11,885
"416",410390033022,26,965
"417",410390033011,26,995
"418",410390020022,26,2225
"419",410390034002,26,880
"420",410390035001,26,650
"421",410390034004,26,1235
"422",410390019032,26,630
"423",410390018042,26,2120
"424",410390002004,26,1325
"425",410390001002,21,1185
"426",410390002003,21,630
"427",410430309033,26,1640
"428",410430307001,10,800
"429",410430203001,10,750
"430",410430203002,10,550
"431",410430202001,5,1620
"432",410470108023,10,805
"433",410470108012,5,635
"434",410470027004,7,775
"435",410430301001,26,745
"436",410430301004,5,815
"437",410430302006,3,1360
"438",410430302004,3,925
"439",410470024001,10,1005
"440",410530052021,14,1310
"441",410530052013,14,2580
"442",410470014012,7,1175
"443",410470012001,5,1445
"444",410470003002,28,580
"445",410470015033,28,910
"446",410470025011,5,2710
"447",410470004003,28,585
"448",410470007011,28,1500
"449",410470016042,28,615
"450",410470018022,28,765
"451",410470017032,28,1120
"452",410470017031,28,890
"453",410470103044,7,415
"454",410470103043,7,385
"455",410470102023,7,560
"456",410470105023,3,655
"457",410710308022,14,710
"458",410710304005,14,1835
"459",410670330002,19,1110
"460",410670329024,1,1070
"461",410670324103,1,235
"462",410670325021,1,2195
"463",410710302011,7,1195
"464",410670324072,1,1875
"465",410670317044,23,750
"466",410670317042,23,960
"467",410670316062,29,1090
"468",410670323001,23,3935
"469",410670316104,29,1960
"470",410670318131,18,2070
"471",410670318153,27,855
"472",410670314032,29,1565
"473",410670319071,23,1440
"474",410670314033,29,1100
"475",410670310035,29,1275
"476",410670314042,29,475
"477",410670319073,18,895
"478",410670310064,12,1390
"479",410670310062,12,610
"480",410670320011,23,2380
"481",410670319122,12,1330
"482",410670308013,18,1095
"483",410050227072,23,3200
"484",410670308012,18,1090
"485",410670305014,12,825
"486",410670320033,7,505
"487",410670320054,7,400
"488",410670304022,12,845
"489",410670304023,12,1705
"490",410670334001,19,800
"491",410670326044,19,1085
"492",410670326032,23,900
"493",410099705004,1,540
"494",410670326071,23,3130
"495",410670316093,23,1420
"496",410670316094,23,1415
"497",410099710003,1,1095
"498",410670327003,1,1475
"499",410670316105,29,1445
"500",410099706002,27,635
"501",410510070002,29,1565
"502",410290021002,4,665
"503",410290022002,4,1175
"504",410290020002,4,805
"505",410390001003,21,1195
"506",410430304016,26,425
"507",410430304023,26,835
"508",410470105012,3,920
"509",410050241003,3,1155
"510",410050227021,7,2170
"511",410050203031,18,1905
"512",410510064041,12,1610
"513",410510046012,16,1160
"514",410050229052,3,1245
"515",410050229042,3,1125
"516",410510056002,16,685
"517",410050202004,7,1590
"518",410050201003,18,615
"519",410050201002,18,770
"520",410510001006,12,650
"521",410050205011,3,630
"522",410510063002,18,1205
"523",410510010004,6,780
"524",410510001002,12,800
"525",410050213003,3,980
"526",410050212002,12,480
"527",410510003013,6,1360
"528",410510014001,6,1105
"529",410050217001,3,2065
"530",410510004014,6,530
"531",410050217002,3,1170
"532",410510004012,6,450
"533",410050210002,6,2090
"534",410050225003,3,2115
"535",410050218011,18,1750
"536",410510004023,20,1070
"537",410050210001,12,790
"538",410050215001,18,1595
"539",410510087002,20,1360
"540",410050219001,3,1770
"541",410510005013,20,815
"542",410050224003,3,690
"543",410050224002,3,805
"544",410510005023,6,845
"545",410510005022,6,515
"546",410510007021,20,980
"547",410510006014,20,1120
"548",410510006022,20,1520
"549",410050222012,20,2115
"550",410510083012,20,1765
"551",410510006012,13,555
"552",410050222051,20,1395
"553",410050226031,3,2750
"554",410050223022,8,1255
"555",410510089012,13,2120
"556",410050221031,18,2665
"557",410510098041,13,1555
"558",410510099042,8,775
"559",410510100013,8,2460
"560",410510099062,8,1020
"561",410510104051,13,1195
"562",410510104052,8,895
"563",410510104111,8,1180
"564",410050233002,8,1105
"565",410050236002,22,1100
"566",410050242004,22,730
"567",410510040023,27,1040
"568",410510040021,27,2115
"569",410510039015,27,1525
"570",410510038013,27,1100
"571",410519800001,16,0
"572",410510037022,16,595
"573",410510037011,20,940
"574",410510023032,16,1550
"575",410510024013,16,675
"576",410510033011,20,825
"577",410510024011,16,1060
"578",410510032001,20,995
"579",410510025014,6,535
"580",410510025013,6,690
"581",410510028012,20,1025
"582",410510018021,6,1885
"583",410510016016,20,700
"584",410510017014,20,610
"585",410510017011,6,410
"586",410510076001,20,1010
"587",410510029034,6,1570
"588",410510017021,20,1485
"589",410510078002,17,920
"590",410510077001,17,745
"591",410510080011,17,1120
"592",410510093021,20,2080
"593",410510093011,17,1645
"594",410170005001,22,1325
"595",410059800001,22,55
"596",410050234043,22,785
"597",410050234031,8,3860
"598",410050243041,22,1610
"599",410359715004,30,465
"600",410359713001,30,410
"601",410359714003,30,230
"602",410359711003,30,1080
"603",410359704001,30,1020
"604",410359719003,30,385
"605",410359716001,30,300
"606",410359716002,30,710
"607",410170013001,22,3990
"608",410170011001,25,2645
"609",410170005003,3,510
"610",410279502005,17,1105
"611",410659706001,17,800
"612",410170015002,22,1145
"613",410170018001,22,1525
"614",410170018003,25,1820
"615",410170018004,25,1640
"616",410319603012,25,1020
"617",410170007004,25,995
"618",410319603023,25,455
"619",410319602023,25,1220
"620",410319602021,25,960
"621",410659703001,22,780
"622",410659701001,17,1605
"623",410379602001,30,885
"624",410139503002,25,1350
"625",410139501005,25,860
"626",410139501001,17,700
"627",410559501002,24,640
"628",410379602007,30,450
"629",410379602002,30,405
"630",410239602002,17,575
"631",410599511001,24,530
"632",410599511002,24,955
"633",410599511004,24,400
"634",410599510005,24,595
"635",410599512002,24,635
"636",410459709002,22,505
"637",410619705003,24,825
"638",410599502002,24,740
"639",410019505001,24,1340
"640",410619708001,24,525
"641",410019506001,24,385
"642",410639601001,24,1575
"643",410459704005,22,325
"644",410159501001,9,680
"645",410159504004,9,860
"646",410159501002,9,1045
"647",410110010003,9,945
"648",410110010007,9,985
"649",410110007006,2,840
"650",410110007005,2,440
"651",410110007003,2,180
"652",410110007008,2,930
"653",410110001004,9,790
"654",410419901000,2,0
"655",410333616007,9,830
"656",410190100002,9,1120
"657",410390007082,2,750
"658",410419516003,19,785
"659",410419514001,2,1365
"660",410419518001,19,650
"661",410030103002,14,845
"662",410030103003,19,740
"663",410419510001,2,475
"664",410419509004,2,615
"665",410419511001,19,720
"666",410419518003,2,1075
"667",410419503032,2,440
"668",410419503042,2,520
"669",410419501002,2,950
"670",410710305021,19,915
"671",410579607001,19,650
"672",410079511004,19,635
"673",410579601001,19,865
"674",410079509004,19,390
"675",410079501002,19,920
"676",410079503003,1,1085
"677",410333603002,9,945
"678",410333606001,9,1465
"679",410333605004,9,1265
"680",410190700001,2,1060
"681",410191600002,30,1830
"682",410191600001,30,1070
"683",410191400005,2,490
"684",410191800003,30,630
"685",410191800005,15,765
"686",410190900004,2,1220
"687",410190900003,2,2495
"688",410390009021,21,730
"689",410390010022,21,825
"690",410030103001,19,1065
"691",410430307003,5,690
"692",410430306004,14,1465
"693",410030009001,10,560
"694",410030011011,10,1010
"695",410030010021,10,650
"696",410030106004,10,1960
"697",410030010012,10,1040
"698",410530203021,10,930
"699",410530203031,14,2555
"700",410530202043,5,1845
"701",410710306013,14,505
"702",410710310002,14,1590
"703",410710307012,14,2935
"704",410670336003,19,575
"705",410710304002,1,1830
"706",410099711002,1,970
"707",410290023001,4,580
"708",410290025001,4,1070
"709",410290010011,4,1270
"710",410290002022,15,590
"711",410290002013,15,1070
"712",410290005011,15,850
"713",410290012002,15,80
"714",410290005022,15,1685
"715",410290013023,15,1895
"716",410290006011,15,1345
"717",410290024001,15,790
"718",410290026002,4,1185
"719",410192100001,4,500
"720",410191000001,30,565
"721",410390013022,21,1545
"722",410390012011,21,1510
"723",410390013021,21,1280
"724",410390016005,21,1090
"725",410390016004,21,720
"726",410390026001,21,1775
"727",410390024031,14,1540
"728",410390024041,11,1555
"729",410390041004,11,705
"730",410390044033,21,505
"731",410390042001,11,1005
"732",410390044034,11,1460
"733",410390028001,11,1605
"734",410390045013,11,830
"735",410390039003,11,620
"736",410390047001,11,895
"737",410390037002,11,1540
"738",410390049002,26,1815
"739",410390031012,26,1275
"740",410390031024,26,1320
"741",410390032012,26,1715
"742",410390032022,11,905
"743",410390032023,11,1260
"744",410390021012,11,1050
"745",410390033021,11,600
"746",410390019023,26,1350
"747",410390019021,26,1505
"748",410390011011,21,1325
